Checklist item,Item score,Sub-item number,Sub-item,Reported by authors?,Notes
Outcomes of publication bias and sensitivity analysis,100%,24.1,"Provide results for the assessments of the risks of bias (e.g. Egger's regression, funnel plots)",Yes,"Risk of bias was assessed using meta-regression models with moderator levels for blinding, missing data, random assignment in experiments and reported in results (and see supplementary material for complete details). We also reported meta-regressions for publication bias (time-lag bias and small-study effects) in results (and see supplementary material for complete details)"
,,24.2,"Provide results for the robustness of the review's results (e.g. subgroup analyses, meta-regression of study quality, results from alternative methods of analysis, and temporal trends)",Yes,All robustness checks/sensitivity analysis conducted are reported in full detail in the supplementary material and mentioned in the results clearly.
Discussion,100%,25.1,Summarise the main findings in terms of the magnitude of effect,Yes,
,,25.2,"Summarise the main findings in terms of the precision of effects (e.g. size of confidence intervals, statistical significance)",Yes,"We use confidence intervals, prediction intervals and statistical significance to discuss the precision of the effects in the results and discussion section."
,,25.3,Summarise the main findings in terms of their heterogeneity,Yes,We report and discuss the heterogeneity and explore some of the possible causes of it in our results and discussion.
,,25.4,Summarise the main findings in terms of their biological/practical relevance,Yes,We have discussed all important findings in terms of their biological and practical implications
,,25.5,"Compare results with previous reviews on the topic, if available",Yes,We have discussed the results comparing them to other published literature (including two narrative reviews that summarise the field) but no quantitative review on the field exists to compare the results with.
,,25.6,"Consider limitations and their influence on the generality of conclusions, such as gaps in the available evidence (e.g. taxonomic and geographical research biases)",Yes,We discuss the limitations of the evidence.
Contributions and funding,100%,26.1,"Provide names, affiliations, and funding sources of all co-authors",Yes,See section Fundings
,,26.2,List the contributions of each co-author,Yes,See section Author Contributions
,,26.3,Provide contact details for the corresponding author,Yes,See manuscript Author details: Shreya Dimri - shreya.dimri@uni-bielefeld.de
,,26.4,Disclose any conflicts of interest,Yes,See section Conflict of interest
References,100%,27.1,Provide a reference list of all studies included in the systematic review or meta-analysis,Yes,See supplementary material for a list.
,,27.2,List included studies as referenced sources (e.g. rather than listing them in a table or supplement),Yes,We have included all the studies in our meta-analysis within the text of the article in appropriate places.
